"title";"date";"href"
"78";"Trump, Penelope Fillon et légitime défense… l’essentiel de l’actualité à 8 heures";2017-01-25;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/25/trump-penelope-fillon-et-gendarmes-armes-l-essentiel-de-l-actualite-a-8-heures_5068600_4355770.html?xtmc=fillon&xtcr=78"
"79";"Macron-Fillon, deux Europe à Berlin";2017-01-25;"http://abonnes.lemonde.fr/idees/article/2017/01/25/macron-fillon-deux-europe-a-berlin_5068705_3232.html?xtmc=fillon&xtcr=79"
"80";"François Fillon révise sa prévision de déficit budgétaire à « 3,5 % ou 3,6 % »";2017-01-25;"http://abonnes.lemonde.fr/politique/article/2017/01/25/francois-fillon-revise-sa-prevision-de-deficit-budgetaire-a-3-5-ou-3-6_5068741_823448.html?xtmc=fillon&xtcr=80"
"81";"François Fillon, « Obamacare », Césars… les informations à retenir à la mi-journée";2017-01-25;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/25/francois-fillon-obamacare-cesars-les-informations-a-retenir-a-la-mi-journee_5068809_4355770.html?xtmc=fillon&xtcr=81"
"82";"Penelope Fillon, épidémie de grippe, pape François... Les informations à retenir à 19 heures";2017-01-25;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/25/penelope-fillon-epidemie-de-grippe-pape-francois-les-informations-a-retenir-a-19-heures_5069091_4355770.html?xtmc=fillon&xtcr=82"
"83";"Affaire Penelope Fillon : qui est le milliardaire Marc Ladreit de Lacharrière ?";2017-01-26;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/26/marc-ladreit-de-lacharriere-l-influence-des-salons-et-de-l-argent_5069370_4854003.html?xtmc=fillon&xtcr=83"
"84";"Mexique, Conseil constitutionnel, Penelope Fillon… Les informations à retenir à 19 heures";2017-01-26;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/26/mexique-conseil-constitutionnel-penelope-fillon-les-informations-a-retenir-a-19-heures_5069743_4355770.html?xtmc=fillon&xtcr=84"
"85";"François Fillon, handball et Theresa May… l’essentiel de l’actualité à 8 heures";2017-01-27;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/27/francois-fillon-handball-et-theresa-may-l-essentiel-de-l-actualite-a-8-heures_5069883_4355770.html?xtmc=fillon&xtcr=85"
"86";"François Fillon, le candidat de « l’honnêteté », touché en plein cœur";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/27/fillon-le-candidat-de-l-honnetete-touche-en-plein-c-ur_5069865_4854003.html?xtmc=fillon&xtcr=86"
"87";"« Affaire Penelope » : François Fillon contre-attaque";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/27/affaire-penelope-francois-fillon-contre-attaque_5069881_4854003.html?xtmc=fillon&xtcr=87"
"88";"Affaire Penelope Fillon : le flou autour des assistants parlementaires permet-il les abus ?";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/video/2017/01/26/affaire-penelope-fillon-le-flou-autour-des-assistants-parlementaires-permet-il-les-abus_5069704_4854003.html?xtmc=fillon&xtcr=88"
"89";"Marc Ladreit de Lacharrière s’explique sur l’embauche de Penelope Fillon à la « Revue des deux mondes »";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/26/marc-ladreit-de-lacharriere-s-explique-sur-l-embauche-de-penelope-fillon-a-la-revue-des-deux-mondes_5069561_4854003.html?xtmc=fillon&xtcr=89"
"90";"Affaire Fillon : pas de prescription malgré la réforme des délais";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/26/affaire-fillon-pas-de-prescription-malgre-la-reforme-des-delais_5069569_4854003.html?xtmc=fillon&xtcr=90"
"91";"Affaire Penelope Fillon : le poison du soupçon";2017-01-27;"http://abonnes.lemonde.fr/idees/article/2017/01/26/affaire-fillon-le-poison-du-soupcon_5069437_3232.html?xtmc=fillon&xtcr=91"
"92";"La campagne de François Fillon déstabilisée par les accusations visant sa femme";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/26/l-affaire-penelope-met-en-exergue-un-manque-de-cohesion-derriere-francois-fillon_5069220_4854003.html?xtmc=fillon&xtcr=92"
"93";"Le parquet financier ouvre une enquête préliminaire dans l’affaire Penelope Fillon";2017-01-27;"http://abonnes.lemonde.fr/police-justice/article/2017/01/25/le-parquet-financier-ouvre-une-enquete-preliminaire-dans-l-affaire-penelope-fillon_5068964_1653578.html?xtmc=fillon&xtcr=93"
"94";"Affaire Penelope Fillon : ce que dit la loi";2017-01-27;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/25/affaire-penelope-fillon-ce-que-dit-la-loi_5069107_4355770.html?xtmc=fillon&xtcr=94"
"95";"François Fillon dénonce la « misogynie » des révélations du « Canard enchaîné »";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/25/francois-fillon-denonce-la-misogynie-des-revelations-du-canard-enchaine_5068735_4854003.html?xtmc=fillon&xtcr=95"
"96";"Fillon touché en plein cœur, Trump et le Mexique, Syrie… les informations à retenir à midi";2017-01-27;"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/27/fillon-touche-en-plein-c-ur-trump-et-le-mexique-syrie-les-informations-a-retenir-a-midi_5070065_4355770.html?xtmc=fillon&xtcr=96"
"97";"François Fillon défend son épouse et se dit « renforcé » pour l’Elysée";2017-01-27;"http://abonnes.lemonde.fr/affaire-penelope-fillon/video/2017/01/27/francois-fillon-defend-son-epouse-et-se-dit-renforce-pour-l-elysee_5070074_5070021.html?xtmc=fillon&xtcr=97"
"98";"François Fillon embarrassé par l’emploi de son épouse en tant qu’assistante parlementaire";2017-01-27;"http://abonnes.lemonde.fr/politique/article/2017/01/24/la-femme-de-francois-fillon-a-percu-500-000-euros-comme-attachee-parlementaire_5068488_823448.html?xtmc=fillon&xtcr=98"
"99";"Présidentielle : François Fillon renoncera s’il est mis en examen";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/26/francois-fillon-renoncera-a-la-presidentielle-s-il-est-mis-en-examen-dans-l-affaire-de-l-emploi-suppose-fictif-de-sa-femme_5069771_4854003.html?xtmc=fillon&xtcr=99"
"100";"Affaire Fillon : « Les dégâts risquent d’être lourds dans l’opinion »";2017-01-27;"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/27/affaire-fillon-les-degats-risquent-d-etre-lourds-dans-l-opinion_5070110_4854003.html?xtmc=fillon&xtcr=100"
"101";"Penelope Fillon sera présente au meeting parisien de son mari dimanche";2017-01-27;"http://abonnes.lemonde.fr/affaire-penelope-fillon/article/2017/01/27/penelope-fillon-sera-presente-au-meeting-parisien-de-son-mari-dimanche_5070211_5070021.html?xtmc=fillon&xtcr=101"
